[2025-08-08 03:08:02,602] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:08:02.601895'}
[2025-08-08 03:25:42,053] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:25:42.053211'}
[2025-08-08 03:25:43,469] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Bypass', 'tier_id': 3, 'access_method': 'bypass_login', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:25:43.469303'}
[2025-08-08 03:25:46,543] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T07:25:46.543137'}
[2025-08-08 10:29:05,496] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T14:29:05.495827'}
[2025-08-08 10:32:14,086] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36', 'timestamp': '2025-08-08T14:32:14.086797'}
[2025-08-08 10:47:14,022] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T14:47:14.022254'}
[2025-08-08 10:47:22,512] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T14:47:22.512378'}
[2025-08-08 11:31:04,596] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T15:31:04.596218'}
[2025-08-08 11:35:42,918] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T15:35:42.918037'}
[2025-08-08 11:42:15,210] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Adult', 'tier_id': 6, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T15:42:15.209750'}
[2025-08-08 12:38:08,572] INFO in logger (/Users/arlonwilber/Library/CloudStorage/GoogleDrive-awilber@wiredtriangle.com/Shared drives/AW/Personal/Projects/Bolaquent/utils/logger.py:94): Demo access: {'tier_name': 'Elementary', 'tier_id': 3, 'access_method': 'direct_demo', 'ip': '127.0.0.1', 'user_agent': 'curl/8.1.2', 'timestamp': '2025-08-08T16:38:08.572757'}
